Country;Date;Confirmed;New_Confirmed;Deaths;New_Deaths;Recovered;New_Recovered;Active;New_Active;Year;Month;Day;Week_Day;Deaths_Ratio;Recovered_Ratio;Active_Ratio;Day_Since_1st_Confirmed;Day_Since_100st_Confirmed
Jamaica;2020-04-04; 53; 6; 3;0;  7; 5; 43;  1;2020;kwiecień; 4;sobota;0,0566;0,1321;0,8113; 25; 0
Jamaica;2020-04-05; 58; 5; 3;0;  8; 1; 47;  4;2020;kwiecień; 5;niedziela;0,0517;0,1379;0,8103; 26; 0
Jamaica;2020-04-06; 58; 0; 3;0;  8; 0; 47;  0;2020;kwiecień; 6;poniedziałek;0,0517;0,1379;0,8103; 27; 0
Jamaica;2020-04-07; 63; 5; 3;0;  8; 0; 52;  5;2020;kwiecień; 7;wtorek;0,0476;0,1270;0,8254; 28; 0
Jamaica;2020-04-08; 63; 0; 4;1; 10; 2; 49; -3;2020;kwiecień; 8;środa;0,0635;0,1587;0,7778; 29; 0
Jamaica;2020-04-09; 63; 0; 4;0; 12; 2; 47; -2;2020;kwiecień; 9;czwartek;0,0635;0,1905;0,7460; 30; 0
Jamaica;2020-04-10; 63; 0; 4;0; 13; 1; 46; -1;2020;kwiecień;10;piątek;0,0635;0,2063;0,7302; 31; 0
Jamaica;2020-04-11; 65; 2; 4;0; 13; 0; 48;  2;2020;kwiecień;11;sobota;0,0615;0,2000;0,7385; 32; 0
Jamaica;2020-04-12; 69; 4; 4;0; 13; 0; 52;  4;2020;kwiecień;12;niedziela;0,0580;0,1884;0,7536; 33; 0
Jamaica;2020-04-13; 73; 4; 4;0; 19; 6; 50; -2;2020;kwiecień;13;poniedziałek;0,0548;0,2603;0,6849; 34; 0
Jamaica;2020-04-14; 73; 0; 4;0; 19; 0; 50;  0;2020;kwiecień;14;wtorek;0,0548;0,2603;0,6849; 35; 0
Jamaica;2020-04-15;125;52; 5;1; 21; 2; 99; 49;2020;kwiecień;15;środa;0,0400;0,1680;0,7920; 36; 1
Jamaica;2020-04-16;143;18; 5;0; 21; 0;117; 18;2020;kwiecień;16;czwartek;0,0350;0,1469;0,8182; 37; 2
Jamaica;2020-04-17;143; 0; 5;0; 25; 4;113; -4;2020;kwiecień;17;piątek;0,0350;0,1748;0,7902; 38; 3
Jamaica;2020-04-18;163;20; 5;0; 25; 0;133; 20;2020;kwiecień;18;sobota;0,0307;0,1534;0,8160; 39; 4
Jamaica;2020-04-19;173;10; 5;0; 27; 2;141;  8;2020;kwiecień;19;niedziela;0,0289;0,1561;0,8150; 40; 5
Jamaica;2020-04-20;223;50; 5;0; 27; 0;191; 50;2020;kwiecień;20;poniedziałek;0,0224;0,1211;0,8565; 41; 6
Jamaica;2020-04-21;223; 0; 6;1; 27; 0;190; -1;2020;kwiecień;21;wtorek;0,0269;0,1211;0,8520; 42; 7
Jamaica;2020-04-22;233;10; 6;0; 27; 0;200; 10;2020;kwiecień;22;środa;0,0258;0,1159;0,8584; 43; 8
Jamaica;2020-04-23;257;24; 6;0; 28; 1;223; 23;2020;kwiecień;23;czwartek;0,0233;0,1089;0,8677; 44; 9
Jamaica;2020-04-24;288;31; 7;1; 28; 0;253; 30;2020;kwiecień;24;piątek;0,0243;0,0972;0,8785; 45;10
Jamaica;2020-04-25;305;17; 7;0; 28; 0;270; 17;2020;kwiecień;25;sobota;0,0230;0,0918;0,8852; 46;11
Jamaica;2020-04-26;350;45; 7;0; 28; 0;315; 45;2020;kwiecień;26;niedziela;0,0200;0,0800;0,9000; 47;12
Jamaica;2020-04-27;364;14; 7;0; 29; 1;328; 13;2020;kwiecień;27;poniedziałek;0,0192;0,0797;0,9011; 48;13
Jamaica;2020-04-28;364; 0; 7;0; 29; 0;328;  0;2020;kwiecień;28;wtorek;0,0192;0,0797;0,9011; 49;14
Jamaica;2020-04-29;396;32; 7;0; 29; 0;360; 32;2020;kwiecień;29;środa;0,0177;0,0732;0,9091; 50;15
Jamaica;2020-04-30;422;26; 8;1; 29; 0;385; 25;2020;kwiecień;30;czwartek;0,0190;0,0687;0,9123; 51;16
Jamaica;2020-05-01;432;10; 8;0; 31; 2;393;  8;2020;maj; 1;piątek;0,0185;0,0718;0,9097; 52;17
Jamaica;2020-05-02;463;31; 8;0; 33; 2;422; 29;2020;maj; 2;sobota;0,0173;0,0713;0,9114; 53;18
Jamaica;2020-05-03;469; 6; 9;1; 38; 5;422;  0;2020;maj; 3;niedziela;0,0192;0,0810;0,8998; 54;19
Jamaica;2020-05-04;471; 2; 9;0; 38; 0;424;  2;2020;maj; 4;poniedziałek;0,0191;0,0807;0,9002; 55;20
Jamaica;2020-05-05;473; 2; 9;0; 56;18;408;-16;2020;maj; 5;wtorek;0,0190;0,1184;0,8626; 56;21
Jamaica;2020-05-06;478; 5; 9;0; 57; 1;412;  4;2020;maj; 6;środa;0,0188;0,1192;0,8619; 57;22
Jamaica;2020-05-07;488;10; 9;0; 58; 1;421;  9;2020;maj; 7;czwartek;0,0184;0,1189;0,8627; 58;23
Jamaica;2020-05-08;490; 2; 9;0; 62; 4;419; -2;2020;maj; 8;piątek;0,0184;0,1265;0,8551; 59;24
Jamaica;2020-05-09;490; 0; 9;0; 62; 0;419;  0;2020;maj; 9;sobota;0,0184;0,1265;0,8551; 60;25
Jamaica;2020-05-10;502;12; 9;0; 90;28;403;-16;2020;maj;10;niedziela;0,0179;0,1793;0,8028; 61;26
Jamaica;2020-05-11;505; 3; 9;0; 90; 0;406;  3;2020;maj;11;poniedziałek;0,0178;0,1782;0,8040; 62;27
Jamaica;2020-05-12;507; 2; 9;0;100;10;398; -8;2020;maj;12;wtorek;0,0178;0,1972;0,7850; 63;28
Jamaica;2020-05-13;509; 2; 9;0;113;13;387;-11;2020;maj;13;środa;0,0177;0,2220;0,7603; 64;29
Jamaica;2020-05-14;509; 0; 9;0;118; 5;382; -5;2020;maj;14;czwartek;0,0177;0,2318;0,7505; 65;30
Jamaica;2020-05-15;511; 2; 9;0;121; 3;381; -1;2020;maj;15;piątek;0,0176;0,2368;0,7456; 66;31
Jamaica;2020-05-16;517; 6; 9;0;121; 0;387;  6;2020;maj;16;sobota;0,0174;0,2340;0,7485; 67;32
Jamaica;2020-05-17;520; 3; 9;0;127; 6;384; -3;2020;maj;17;niedziela;0,0173;0,2442;0,7385; 68;33
Jamaica;2020-05-18;520; 0; 9;0;131; 4;380; -4;2020;maj;18;poniedziałek;0,0173;0,2519;0,7308; 69;34
Jamaica;2020-05-19;520; 0; 9;0;145;14;366;-14;2020;maj;19;wtorek;0,0173;0,2788;0,7038; 70;35
Jamaica;2020-05-20;529; 9; 9;0;171;26;349;-17;2020;maj;20;środa;0,0170;0,3233;0,6597; 71;36
Jamaica;2020-05-21;534; 5; 9;0;181;10;344; -5;2020;maj;21;czwartek;0,0169;0,3390;0,6442; 72;37
Jamaica;2020-05-22;544;10; 9;0;191;10;344;  0;2020;maj;22;piątek;0,0165;0,3511;0,6324; 73;38
Jamaica;2020-05-23;550; 6; 9;0;200; 9;341; -3;2020;maj;23;sobota;0,0164;0,3636;0,6200; 74;39
Jamaica;2020-05-24;552; 2; 9;0;211;11;332; -9;2020;maj;24;niedziela;0,0163;0,3822;0,6014; 75;40
Jamaica;2020-05-25;556; 4; 9;0;238;27;309;-23;2020;maj;25;poniedziałek;0,0162;0,4281;0,5558; 76;41
Jamaica;2020-05-26;564; 8; 9;0;267;29;288;-21;2020;maj;26;wtorek;0,0160;0,4734;0,5106; 77;42
Jamaica;2020-05-27;569; 5; 9;0;279;12;281; -7;2020;maj;27;środa;0,0158;0,4903;0,4938; 78;43
Jamaica;2020-05-28;569; 0; 9;0;284; 5;276; -5;2020;maj;28;czwartek;0,0158;0,4991;0,4851; 79;44
Jamaica;2020-05-29;575; 6; 9;0;289; 5;277;  1;2020;maj;29;piątek;0,0157;0,5026;0,4817; 80;45
Jamaica;2020-05-30;581; 6; 9;0;290; 1;282;  5;2020;maj;30;sobota;0,0155;0,4991;0,4854; 81;46
Jamaica;2020-05-31;586; 5; 9;0;311;21;266;-16;2020;maj;31;niedziela;0,0154;0,5307;0,4539; 82;47
Jamaica;2020-06-01;588; 2; 9;0;322;11;257; -9;2020;czerwiec; 1;poniedziałek;0,0153;0,5476;0,4371; 83;48
Jamaica;2020-06-02;590; 2; 9;0;356;34;225;-32;2020;czerwiec; 2;wtorek;0,0153;0,6034;0,3814; 84;49
Jamaica;2020-06-03;591; 1;10;1;361; 5;220; -5;2020;czerwiec; 3;środa;0,0169;0,6108;0,3723; 85;50
Jamaica;2020-06-04;591; 0;10;0;368; 7;213; -7;2020;czerwiec; 4;czwartek;0,0169;0,6227;0,3604; 86;51
Jamaica;2020-06-05;595; 4;10;0;385;17;200;-13;2020;czerwiec; 5;piątek;0,0168;0,6471;0,3361; 87;52
Jamaica;2020-06-06;596; 1;10;0;404;19;182;-18;2020;czerwiec; 6;sobota;0,0168;0,6779;0,3054; 88;53
Jamaica;2020-06-07;598; 2;10;0;405; 1;183;  1;2020;czerwiec; 7;niedziela;0,0167;0,6773;0,3060; 89;54
Jamaica;2020-06-08;599; 1;10;0;405; 0;184;  1;2020;czerwiec; 8;poniedziałek;0,0167;0,6761;0,3072; 90;55
Jamaica;2020-06-09;605; 6;10;0;405; 0;190;  6;2020;czerwiec; 9;wtorek;0,0165;0,6694;0,3140; 91;56
Jamaica;2020-06-10;605; 0;10;0;407; 2;188; -2;2020;czerwiec;10;środa;0,0165;0,6727;0,3107; 92;57
Jamaica;2020-06-11;611; 6;10;0;408; 1;193;  5;2020;czerwiec;11;czwartek;0,0164;0,6678;0,3159; 93;58
Jamaica;2020-06-12;614; 3;10;0;417; 9;187; -6;2020;czerwiec;12;piątek;0,0163;0,6792;0,3046; 94;59
Jamaica;2020-06-13;615; 1;10;0;420; 3;185; -2;2020;czerwiec;13;sobota;0,0163;0,6829;0,3008; 95;60
Jamaica;2020-06-14;617; 2;10;0;420; 0;187;  2;2020;czerwiec;14;niedziela;0,0162;0,6807;0,3031; 96;61
Jamaica;2020-06-15;621; 4;10;0;430;10;181; -6;2020;czerwiec;15;poniedziałek;0,0161;0,6924;0,2915; 97;62
Jamaica;2020-06-16;621; 0;10;0;449;19;162;-19;2020;czerwiec;16;wtorek;0,0161;0,7230;0,2609; 98;63
Jamaica;2020-06-17;626; 5;10;0;451; 2;165;  3;2020;czerwiec;17;środa;0,0160;0,7204;0,2636; 99;64
Jamaica;2020-06-18;638;12;10;0;458; 7;170;  5;2020;czerwiec;18;czwartek;0,0157;0,7179;0,2665;100;65
Jamaica;2020-06-19;652;14;10;0;458; 0;184; 14;2020;czerwiec;19;piątek;0,0153;0,7025;0,2822;101;66
Jamaica;2020-06-20;657; 5;10;0;462; 4;185;  1;2020;czerwiec;20;sobota;0,0152;0,7032;0,2816;102;67
Jamaica;2020-06-21;659; 2;10;0;516;54;133;-52;2020;czerwiec;21;niedziela;0,0152;0,7830;0,2018;103;68
Jamaica;2020-06-22;665; 6;10;0;516; 0;139;  6;2020;czerwiec;22;poniedziałek;0,0150;0,7759;0,2090;104;69
Jamaica;2020-06-23;670; 5;10;0;518; 2;142;  3;2020;czerwiec;23;wtorek;0,0149;0,7731;0,2119;105;70
Jamaica;2020-06-24;678; 8;10;0;521; 3;147;  5;2020;czerwiec;24;środa;0,0147;0,7684;0,2168;106;71
Jamaica;2020-06-25;684; 6;10;0;526; 5;148;  1;2020;czerwiec;25;czwartek;0,0146;0,7690;0,2164;107;72
Jamaica;2020-06-26;686; 2;10;0;539;13;137;-11;2020;czerwiec;26;piątek;0,0146;0,7857;0,1997;108;73
Jamaica;2020-06-27;690; 4;10;0;552;13;128; -9;2020;czerwiec;27;sobota;0,0145;0,8000;0,1855;109;74
Jamaica;2020-06-28;696; 6;10;0;552; 0;134;  6;2020;czerwiec;28;niedziela;0,0144;0,7931;0,1925;110;75
Jamaica;2020-06-29;698; 2;10;0;553; 1;135;  1;2020;czerwiec;29;poniedziałek;0,0143;0,7923;0,1934;111;76
Jamaica;2020-06-30;702; 4;10;0;553; 0;139;  4;2020;czerwiec;30;wtorek;0,0142;0,7877;0,1980;112;77
Jamaica;2020-07-01;707; 5;10;0;555; 2;142;  3;2020;lipiec; 1;środa;0,0141;0,7850;0,2008;113;78
Jamaica;2020-07-02;715; 8;10;0;560; 5;145;  3;2020;lipiec; 2;czwartek;0,0140;0,7832;0,2028;114;79
Jamaica;2020-07-03;721; 6;10;0;565; 5;146;  1;2020;lipiec; 3;piątek;0,0139;0,7836;0,2025;115;80
Jamaica;2020-07-04;728; 7;10;0;569; 4;149;  3;2020;lipiec; 4;sobota;0,0137;0,7816;0,2047;116;81
Jamaica;2020-07-05;732; 4;10;0;584;15;138;-11;2020;lipiec; 5;niedziela;0,0137;0,7978;0,1885;117;82
Jamaica;2020-07-06;737; 5;10;0;591; 7;136; -2;2020;lipiec; 6;poniedziałek;0,0136;0,8019;0,1845;118;83
Jamaica;2020-07-07;745; 8;10;0;599; 8;136;  0;2020;lipiec; 7;wtorek;0,0134;0,8040;0,1826;119;84
Jamaica;2020-07-08;751; 6;10;0;600; 1;141;  5;2020;lipiec; 8;środa;0,0133;0,7989;0,1877;120;85
Jamaica;2020-07-09;753; 2;10;0;603; 3;140; -1;2020;lipiec; 9;czwartek;0,0133;0,8008;0,1859;121;86
Jamaica;2020-07-10;753; 0;10;0;605; 2;138; -2;2020;lipiec;10;piątek;0,0133;0,8035;0,1833;122;87
Jamaica;2020-07-11;758; 5;10;0;615;10;133; -5;2020;lipiec;11;sobota;0,0132;0,8113;0,1755;123;88
Jamaica;2020-07-12;758; 0;10;0;620; 5;128; -5;2020;lipiec;12;niedziela;0,0132;0,8179;0,1689;124;89
Jamaica;2020-07-13;759; 1;10;0;628; 8;121; -7;2020;lipiec;13;poniedziałek;0,0132;0,8274;0,1594;125;90
Jamaica;2020-07-14;762; 3;10;0;643;15;109;-12;2020;lipiec;14;wtorek;0,0131;0,8438;0,1430;126;91
